id,status,severity,category,component,files,summary
BUG-001,fixed,medium,security,tauri-capabilities,src-tauri/capabilities/default.json,"Unused shell:allow-execute capability grants an arbitrary-command-execution primitive with no consumer"
BUG-002,fixed,low,security,tauri-capabilities,src-tauri/capabilities/default.json,"Unused clipboard-manager:allow-read-text capability is a needless exfiltration surface"
BUG-003,fixed,medium,functional,frontend,src/components/entries/PasswordGenerator.tsx,"Password generator copy used navigator.clipboard; unreliable in WebView2 origin and failed silently with no feedback"
BUG-004,fixed,low,functional-ux,frontend,src/components/layout/MainLayout.tsx,"Advertised '/' search-focus shortcut had no keyboard handler"
BUG-005,fixed,low,data-integrity,rust-db,src-tauri/src/vault/db.rs,"delete_group could delete the default group and orphan entries' group references until next launch"
BUG-006,fixed,low,edge-case,rust-password-gen,src-tauri/src/vault/password_gen.rs,"generate_password returned an empty password for non-positive length and risked huge allocation for absurd length"
BUG-007,fixed,medium,documentation,docs,CLAUDE.md,"CLAUDE.md falsely claimed the password generator is broken; stale DB-path section, command list, and version"
FIND-008,fixed (v3.4.1),medium,security,frontend,"src/stores/vaultStore.ts;src/components/ui/ClipboardToast.tsx;src/components/layout/MainLayout.tsx;src/components/entries/EntryTable.tsx;src/components/entries/PasswordGenerator.tsx","Copied passwords now auto-clear from the clipboard after 60s (conditional, countdown toast); BUG-002 partially reversed (read-text re-added) by explicit decision"
FIND-009,documented,low,accessibility,frontend,src/components/layout/MainLayout.tsx,"Global Space preventDefault breaks Space-activating focused buttons"
FIND-010,documented,low,robustness,rust-db,src-tauri/src/vault/db.rs,"Master row read via hard-coded WHERE id = 1 while insert does not pin id"
FIND-011,documented,low,performance,frontend,"src/components/entries/EntryTable.tsx;src/stores/vaultStore.ts","Batch delete performs N sequential round-trips, each reloading entries and groups"
FIND-012,documented,low,robustness,rust-db,src-tauri/src/vault/db.rs,"CSV import assumes a header row; headerless third-party CSV silently drops its first data row"
FIND-013,documented,info,code-quality,mixed,"src/components/unlock/UnlockScreen.tsx;src/components/ui/ChangePasswordModal.tsx;src-tauri/src/vault/db.rs","computeStrength duplicated across two components; pre-existing clippy warnings"
